TeamMember_ID,Name,Skills_with_Proficiency,Primary_Skill,Preferred_Competition_Types,Competitions_Participated,Competitions_Won,Average_Ranking,Availability_Hours_Per_Week,Timezone,Previous_Teams,Team_Compatibility_Score,Communication_Rating,Leadership_Experience,Certifications,Overall_Capability_Score
TM0042,Developer_42,Flask(2); Full Stack(5); Frontend(1); Django(3); DevOps(2),Flask,"Web Development, AI/ML",11,6,17.08,25,EST,6,4.02,3.33,No,1,5.07
TM0043,Developer_43,JavaScript(2); Django(4); Data Analysis(2),JavaScript,"Mobile App, AI/ML, Data Science",14,8,11.8,38,CET,3,4.0,4.42,No,0,5.58
TM0044,Developer_44,Mobile Development(2); Product Management(2); DevOps(1); Flask(3); JavaScript(5),Mobile Development,"AI/ML, IoT, Web Development",4,1,53.14,19,PST,10,4.29,4.44,No,2,5.03
TM0045,Developer_45,GCP(3); Kubernetes(2); Django(4); Python(2); DevOps(2),GCP,"Cloud Computing, Blockchain",6,6,11.58,46,AEST,7,4.89,3.45,No,0,6.38
TM0046,Developer_46,Data Analysis(4); Node.js(2); Django(1),Data Analysis,"Cybersecurity, Game Development, IoT",11,1,47.82,25,EST,5,2.07,3.93,No,2,3.52
TM0047,Developer_47,GCP(5); DevOps(4); React(5); Backend(1),GCP,"Mobile App, Data Science, Cloud Computing",11,1,67.29,48,GMT,7,4.64,3.95,No,4,5.12
TM0048,Developer_48,AWS(1); Docker(4); Product Management(1); SQL(4),AWS,"IoT, Web Development, Mobile App",3,3,77.09,5,JST,4,2.28,2.77,No,0,5.02
TM0049,Developer_49,Django(3); Kubernetes(3); Backend(4),Django,"Game Development, Hardware Hackathon",9,5,14.99,11,PST,8,2.97,2.07,Yes,2,4.46
TM0050,Developer_50,Backend(4); GCP(1); Django(4); Frontend(5),Backend,"Web Development, IoT, Game Development",11,6,16.05,55,GMT,2,2.58,2.64,No,1,4.58
TM0051,Developer_51,GraphQL(2); Kubernetes(5); JavaScript(4),GraphQL,"Blockchain, Game Development",13,6,42.2,31,GMT,5,4.37,3.75,No,4,5.64
TM0052,Developer_52,Data Analysis(3); UI/UX Design(1); Flask(5),Data Analysis,"AI/ML, Blockchain, IoT",8,8,69.13,52,EST,9,4.79,2.76,No,3,6.22
TM0053,Developer_53,C++(3); Mobile Development(1); Node.js(5); AWS(4); Docker(5),C++,"Mobile App, Web Development, Cloud Computing",9,4,55.41,58,SGT,9,2.06,2.25,No,0,4.05
TM0054,Developer_54,Flask(4); Node.js(2); Machine Learning(3),Flask,"Cloud Computing, Game Development, AI/ML",11,9,61.68,26,PST,3,2.36,2.59,No,4,4.82
TM0055,Developer_55,GraphQL(2); JavaScript(5); React(5); Backend(4); C++(3),GraphQL,"Mobile App, Cybersecurity, Game Development",7,2,30.46,23,IST,6,3.73,4.63,No,1,5.44
TM0056,Developer_56,Node.js(4); Backend(4); Machine Learning(2); SQL(2),Node.js,"AI/ML, Cloud Computing, Data Science",10,2,84.36,10,SGT,2,4.99,3.1,No,3,4.84
TM0057,Developer_57,Machine Learning(2); JavaScript(4); AWS(4); GraphQL(2),Machine Learning,"Cybersecurity, Hardware Hackathon, Cloud Computing",2,1,69.85,16,AEST,5,2.63,4.48,No,4,5.04
TM0058,Developer_58,JavaScript(2); MongoDB(5); React(1); Kubernetes(4),JavaScript,"IoT, Cybersecurity",12,5,52.29,49,MST,4,2.17,4.56,Yes,4,4.73
TM0059,Developer_59,Machine Learning(4); GCP(1); Product Management(4),Machine Learning,"Web Development, Game Development",5,1,84.63,10,JST,3,2.1,2.19,No,0,3.32
TM0060,Developer_60,Full Stack(5); Frontend(1); Cloud Architecture(3),Full Stack,"AI/ML, Mobile App",4,3,42.38,11,CET,6,3.64,4.94,Yes,3,6.13
TM0061,Developer_61,C++(4); Full Stack(4); Java(3); Cloud Architecture(2),C++,"Game Development, Cybersecurity",13,3,52.42,44,GMT,5,2.48,2.77,No,1,3.86
TM0062,Developer_62,Data Analysis(5); Machine Learning(5); GraphQL(1); Cloud Architecture(2),Data Analysis,"Web Development, IoT, Blockchain",10,7,51.2,32,EST,6,2.55,4.68,No,2,5.59
TM0063,Developer_63,DevOps(1); UI/UX Design(3); Flask(1),DevOps,"Hardware Hackathon, IoT, Web Development",12,8,82.09,54,CET,2,4.28,4.96,No,3,5.7
TM0064,Developer_64,AWS(3); GraphQL(3); Machine Learning(1),AWS,"Blockchain, Game Development, Cloud Computing",6,6,8.63,7,PST,9,3.54,2.92,Yes,2,5.52
TM0065,Developer_65,Kubernetes(4); React(5); Backend(3),Kubernetes,"Hardware Hackathon, Cloud Computing",2,1,70.23,32,PST,6,3.86,3.68,No,0,5.62
TM0066,Developer_66,Kubernetes(4); JavaScript(2); Django(1); Machine Learning(5); Full Stack(1),Kubernetes,"Game Development, Hardware Hackathon, Mobile App",4,4,7.3,24,GMT,2,3.47,4.21,No,0,6.11
TM0067,Developer_67,Mobile Development(4); Django(4); Product Management(4); Full Stack(4); AWS(4),Mobile Development,"Game Development, Blockchain",7,6,41.29,26,JST,1,3.09,3.42,Yes,2,5.92
TM0068,Developer_68,GCP(5); React(1); Docker(2); JavaScript(3),GCP,"Mobile App, AI/ML, Data Science",10,6,57.9,43,MST,10,2.39,2.82,Yes,3,4.38
TM0069,Developer_69,AWS(4); Java(1); DevOps(4); JavaScript(2); C++(5),AWS,"Cloud Computing, IoT",6,1,67.19,45,AEST,1,4.66,3.8,No,2,5.0
TM0070,Developer_70,AWS(1); C++(1); MongoDB(4); Kubernetes(5),AWS,"Cybersecurity, Blockchain, Game Development",11,11,80.04,7,MST,11,3.74,4.28,Yes,2,6.31
TM0071,Developer_71,UI/UX Design(1); Machine Learning(5); Product Management(2); Docker(4),UI/UX Design,"AI/ML, Blockchain, Hardware Hackathon",7,7,51.04,15,PST,9,2.12,2.09,Yes,1,4.88
TM0072,Developer_72,GCP(1); Product Management(5); Full Stack(2); Flask(5); AWS(5),GCP,"Data Science, Web Development",4,3,24.27,15,IST,3,3.04,3.74,Yes,2,5.65
TM0073,Developer_73,GCP(3); Machine Learning(5); Mobile Development(2),GCP,"IoT, Mobile App",3,0,87.83,16,CET,0,4.85,3.54,Yes,3,4.69
TM0074,Developer_74,GCP(1); Docker(1); Flask(3); Cloud Architecture(3),GCP,"Data Science, Web Development",5,1,14.31,25,CST,8,2.84,2.63,No,2,3.39
TM0075,Developer_75,AWS(1); Node.js(2); Kubernetes(4); JavaScript(3); MongoDB(3),AWS,"Web Development, IoT, Data Science",0,0,,59,CST,9,2.73,3.43,Yes,1,4.5
